PLAYER,TEAM,GP,PTS,AST,REB,STL,BLK
Luka Dončić,LAL,63,33.8,8.3,7.8,1.7,0.5
Shai Gilgeous-Alexander,OKC,64,31.6,6.5,4.4,1.4,0.8
Anthony Edwards,MIN,59,29.3,3.7,5.1,1.4,0.8
Tyrese Maxey,PHI,63,28.8,6.7,4.2,2.0,0.8
Jaylen Brown,BOS,66,28.6,5.2,7.1,1.0,0.4
Kawhi Leonard,LAC,60,28.1,3.6,6.4,2.0,0.5
Nikola Jokić,DEN,60,27.9,10.8,12.9,1.4,0.8
Donovan Mitchell,CLE,67,27.7,5.7,4.4,1.5,0.3
Jalen Brunson,NYK,70,26.1,6.7,3.4,0.8,0.1
Kevin Durant,HOU,72,25.9,4.6,5.4,0.8,0.9
Devin Booker,PHX,60,25.8,6.0,3.9,0.8,0.3
Jamal Murray,DEN,71,25.5,7.2,4.4,0.9,0.4
Cade Cunningham,DET,61,24.5,9.9,5.6,1.5,0.9
Victor Wembanyama,SAS,60,24.5,3.1,11.4,1.1,3.1
Deni Avdija,POR,61,23.9,6.7,7.0,0.8,0.6
Pascal Siakam,IND,60,23.8,3.8,6.7,1.1,0.4
James Harden,CLE,66,23.7,8.1,4.9,1.1,0.4
Keyonte George,UTA,54,23.6,6.1,3.7,1.1,0.3
Jalen Johnson,ATL,67,22.9,8.1,10.2,1.3,0.4
Paolo Banchero,ORL,65,22.6,5.1,8.3,0.6,0.6
Norman Powell,MIA,55,22.1,2.6,3.6,1.1,0.3
Trey Murphy III,NOP,64,21.7,3.8,5.7,1.5,0.3
Brandon Ingram,TOR,71,21.4,3.6,5.5,0.8,0.7
Zion Williamson,NOP,59,21.3,3.2,5.7,1.0,0.5
Julius Randle,MIN,75,21.0,5.1,6.8,1.1,0.2
LeBron James,LAL,55,20.7,7.0,6.0,1.1,0.6
Alperen Sengun,HOU,66,20.5,6.2,8.9,1.2,1.1
Nickeil Alexander-Walker,ATL,73,20.4,3.8,3.5,1.3,0.5
Brandon Miller,CHA,59,20.4,3.4,5.0,1.0,0.7
Desmond Bane,ORL,75,20.3,4.2,4.2,1.0,0.4
Cooper Flagg,DAL,64,20.3,4.5,6.6,1.2,0.9
Bam Adebayo,MIA,67,20.1,3.0,10.0,1.1,0.7
Karl-Anthony Towns,NYK,71,20.1,2.8,11.9,0.9,0.5
LaMelo Ball,CHA,66,19.6,7.1,4.8,1.2,0.2
Jalen Duren,DET,65,19.5,1.8,10.6,0.8,0.9
Kon Knueppel,CHA,75,18.8,3.4,5.4,0.7,0.2
CJ McCollum,ATL,71,18.8,3.8,3.4,0.8,0.4
De'Aaron Fox,SAS,65,18.6,6.2,3.7,1.2,0.3
Jerami Grant,POR,57,18.6,2.1,3.5,0.7,0.6
DeMar DeRozan,SAC,74,18.5,4.1,3.0,1.1,0.3
Scottie Barnes,TOR,73,18.4,5.8,7.6,1.4,1.5
Evan Mobley,CLE,61,18.2,3.6,8.9,0.8,1.8
Amen Thompson,HOU,73,17.9,5.3,7.8,1.5,0.6
Saddiq Bey,NOP,69,17.4,2.6,5.6,0.9,0.1
Josh Giddey,CHI,53,17.2,9.2,8.4,1.0,0.5
Ryan Rollins,MIL,72,17.1,5.6,4.6,1.5,0.4
Miles Bridges,CHA,71,17.1,3.2,5.8,0.6,0.4
Chet Holmgren,OKC,65,17.0,1.7,8.9,0.6,1.8
